z_m,phi_V,E_C_J,E_V_J,n_m3,p_m3
2.949999999999999814e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
2.975000000000000104e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
2.999999999999999864e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.025000000000000154e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.049999999999999915e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.075000000000000205e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.099999999999999966e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.125000000000000256e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.150000000000000016e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.175000000000000306e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.200000000000000067e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.224999999999999828e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.250000000000000118e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.274999999999999878e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.300000000000000168e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.324999999999999929e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.350000000000000219e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.374999999999999980e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.400000000000000270e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.425000000000000030e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.450000000000000320e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.475000000000000081e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.499999999999999842e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.525000000000000132e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.549999999999999892e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.575000000000000182e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.599999999999999943e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.625000000000000233e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.649999999999999994e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.675000000000000284e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
3.700000000000000044e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
